topic,questionText,correctAnswer
Java (Collections),Difference between ArrayList and CopyOnWriteArrayList,"ArrayList is non-thread-safe dynamic array; CopyOnWriteArrayList is thread-safe, clones the array on write, suitable for low mutation scenarios."
Java (Coding),Write a program to find if a string is a palindrome without using reverse(),"Use two-pointer technique: compare characters from both ends inward, stop early on mismatch."
Java (Concurrency),Implement Producer?Consumer problem using multithreading. Implement using BlockingQueue.,"Use BlockingQueue shared by producer and consumer; producer calls put(), consumer calls take(), built?in synchronization."
Java (Concurrency),Explain volatile keyword and use case. Synchronized vs. volatile,`volatile` ensures visibility of writes to other threads; `synchronized` provides mutual exclusion and happens-before ordering. Atomic variables offer lock-free safety.
Java,How does HashMap handle collisions internally?,HashMap uses separate chaining: stores colliding keys in linked lists or treeified bins (if size exceeds threshold) for performance.
Java (Collections),Difference between Comparator and Comparable. Role of Comparable interface,"Comparable defines natural order via compareTo(); Comparator defines external order logic, can be passed at runtime."
Java,"Scenario: How to detect memory leaks in Java applications? Use profiling tools, heap dumps, watch static references or caches, and ensure listeners/callbacks are cleaned.","Use tools like VisualVM, YourKit, or Eclipse MAT; monitor heap dumps; avoid unbounded cache or static collections."
Test Automation,Explain Page Object Model and its advantages,"Encapsulate page elements and actions into objects; improves readability, reduces duplication, and simplifies maintenance of Selenium tests."
Test Automation,How do you handle dynamic web elements in Selenium?,"Use explicit or fluent waits (ExpectedConditions), dynamic XPath, or retry logic for elements that appear asynchronously."
Test Automation,"Difference between implicit, explicit, and fluent waits",Implicit: global wait; explicit: per-element conditions; fluent: customizable polling and ignoring exceptions.
Test Automation,How to design a Hybrid Framework (key components)?,"Combine Keyword-Driven and Data-Driven patterns; core components include page objects, keyword layer, test data, controller, and reporting."
Test Automation / DevOps,How to integrate Selenium tests with CI/CD (Azure/Jenkins)?,"Run automated tests in pipeline agents, publish test reports, and fail builds on failures."
Test Automation,Explain ThreadLocal WebDriver and why it is used in parallel execution,"ThreadLocal maintains one WebDriver instance per thread, allowing safe parallel browser sessions."
Test Automation,How to handle authentication popups in Selenium?,"Use Selenium?s Alert API, browser capabilities, or external tools like AutoIT to interact with pop-ups."
Test Automation,What is retry logic in TestNG and how to implement it?,Implement IRetryAnalyzer to automatically retry flaky tests; configure in TestNG XML with retryAnalyzer parameter.
Test Automation,Scenario: Login button is enabled only after an API call ? how to automate?,Wait explicitly for element to become clickable after DOM update triggered by API response before clicking.
Test Automation,How to validate JSON schema using Rest Assured?,Use JsonSchemaValidator.matchesJsonSchema(...) with a schema file to validate API response structure.
API & Web,"Explain difference between PUT, PATCH, and POST","PUT: full update or resource creation at known URI (idempotent), PATCH: partial update, POST: create resource or execute server-side action (non?idempotent)."
SQL,SQL: Write a query to fetch top 3 highest salaries department?wise,Use window functions: `ROW_NUMBER() OVER (PARTITION BY department ORDER BY salary DESC)` to filter top 3 per department.
Test Automation,How to mock APIs for testing when backend is not ready?,Use WireMock or MockServer to stub endpoints and simulate backend behavior in integration tests.
Security / Test Automation,What is OAuth 2.0 flow and how to automate it?,"Client obtains an access token (via redirect or credentials), then uses token to call APIs; mock token endpoints or automate using WireMock, simulate JWT flows."
Microservices / Test Automation,Explain Microservices testing challenges in automation,"Resource isolation, test data setup, service dependencies, flaky integration tests, and need for contract/test environment management."
Troubleshooting,Scenario: API test returns intermittent 500 errors ? how to debug?,"Check logs, reproduce under load, monitor latency/timeouts, trace error paths, implement retry logic and examine failure patterns."
Test Automation,How do you handle test data management for APIs in automation?,"Isolate test data via sandbox environments, cleanup after tests, or mock dependencies; use separate DB instances per test run."
Test Automation,Design an automation framework from scratch for service-based application,"Create layered architecture: API client, test data layer, assertion library, config store, reporting tool, CI/CD integration."
Algorithm,Two Sum problem,Use a HashMap to store seen numbers and their indices; for each number check if complement exists ? O(n).
